conference	authors	title	year	DOI
FSE	Oh, Wonseok, and Hakjoo Oh	PyTER: effective program repair for Python type errors.	2022	10.1145/3540250.3549130
FSE	Kim, Seulbae, and Taesoo Kim	RoboFuzz: fuzzing robotic systems over robot operating system (ROS) for finding correctness bugs.	2022	10.1145/3540250.3549164
FSE	Fu, Michael, et al	VulRepair: a T5-based automated software vulnerability repair.	2022	10.1145/3540250.3549098
FSE	Dutta, Saikat, August Shi, and Sasa Misailovic	Flex: fixing flaky tests in machine learning projects by updating assertion bounds.	2021	10.1145/3468264.3468615
FSE	Wong, Chu-Pan, et al	VarFix: balancing edit expressiveness and search effectiveness in automated program repair.	2021	10.1145/3468264.3468600
FSE	Yang, Chen	Accelerating redundancy-based program repair via code representation learning and adaptive patch filtering.	2021	10.1145/3468264.3473496
FSE	Song, Dowon, Woosuk Lee, and Hakjoo Oh	Context-aware and data-driven feedback generation for programming assignments.	2021	10.1145/3468264.3468598
FSE	Zhu, Qihao, et al	A syntax-guided edit decoder for neural program repair.	2021	10.1145/3468264.3468544
FSE	Xiao, Ya	Multi-location cryptographic code repair with neural-network-based methodologies.	2021	10.1145/3468264.3473102
FSE	Koyuncu, Anil, et al	iFixR: Bug report driven program repair.	2019	10.1145/3338906.3338935
FSE	Bavishi, Rohan, Hiroaki Yoshida, and Mukul R	Phoenix: Automated data-driven synthesis of repairs for static analysis violations.	2019	10.1145/3338906.3338952
FSE	Ginelli, Davide	Failure-driven program repair.	2019	10.1145/3338906.3341464
FSE	Hua, Jinru, et al	Sketchfix: a tool for automated program repair approach using lazy candidate generation.	2018	10.1145/3236024.3264600
FSE	Yang, Junwen, et al	Powerstation: Automatically detecting and fixing inefficiencies of database-backed web applications in ide.	2018	10.1145/3236024.3264589
ASE	Dissanayake, Nesara, et al	An Empirical Study of Automation in Software Security Patch Management.	2022	10.1145/3551349.3556969
ASE	Zhang, Chen, et al	BuildSonic: Detecting and Repairing Performance-Related Configuration Smells for Continuous Integration Builds.	2022	10.1145/3551349.3556923
ASE	Tian, Haoye, et al	Is this Change the Answer to that Problem? Correlating Descriptions of Bug and Code Changes for Evaluating Patch Correctness.	2022	10.1145/3551349.3556914
ASE	Ye, He, et al	SelfAPR: Self-supervised Program Repair with Test Execution Diagnostics.	2022	10.1145/3551349.3556926
ASE	Zhong, Wenkang, et al	StandUp4NPR: Standardizing SetUp for Empirically Comparing Neural Program Repair Systems.	2022	10.1145/3551349.3556943
ASE	Yang, Deheng, et al	TransplantFix: Graph Differencing-based Code Transplantation for Automated Program Repair.	2022	10.1145/3551349.3556893
ASE	Li, Xueyang, et al	TransRepair: Context-aware Program Repair for Compilation Errors.	2022	10.1145/3551349.3560422
ASE	Alotaibi, Ali S	Automated repair of size-based inaccessibility issues in mobile applications.	2021	10.1109/ase51524.2021.9678625
ASE	Wang, Shangwen, et al	Automated patch correctness assessment: How far are we?.	2020	10.1145/3324884.3416590
ASE	Tian, Haoye, et al	Evaluating representation learning of code changes for predicting patch correctness in program repair.	2020	10.1145/3324884.3416532
ASE	Benton, Samuel, et al	On the effectiveness of unified debugging: An extensive study on 16 program repair systems.	2020	10.1145/3324884.3416566
ASE	Ding, Yangruibo, et al	Patching as translation: the data and the metaphor.	2020	10.1145/3324884.3416587
ASE	Hu, Yang, et al	Re-factoring based program repair applied to programming assignments.	2019	10.1109/ase.2019.00044
ASE	Endres, Madeline, et al	Infix: Automatically repairing novice program inputs.	2019	10.1109/ase.2019.00045
ASE	Cashin, Padraic, et al	Understanding automatically-generated patches through symbolic invariant differences.	2019	10.1109/ase.2019.00046
ASE	Ghanbari, Ali, and Lingming Zhang	PraPR: Practical program repair via bytecode mutation.	2019	10.1109/ase.2019.00116
ASE	Soto, Mauricio	Improving patch quality by enhancing key components of automatic program repair.	2019	10.1109/ase.2019.00147
ASE	Sharma, Vaibhav	Automatically repairing binary programs using adapter synthesis.	2019	10.1109/ase.2019.00149
ASE	Ghanbari, Ali	Toward practical automatic program repair.	2019	10.1109/ase.2019.00156
ASE	Lin, Huarui, et al	Pfix: fixing concurrency bugs based on memory access patterns.	2018	10.1145/3238147.3238198
EMSE	Namavar, Marjane, Noor Nashid, and Ali Mesbah	A controlled experiment of different code representations for learning-based program repair.	2022	10.1007/s10664-022-10223-5
EMSE	Ginelli, Davide, et al	A comprehensive study of code-removal patches in automated program repair.	2022	10.1007/s10664-021-10100-7
EMSE	Luo, Linghui, et al	TaintBench: Automatic real-world malware benchmarking of Android taint analyses.	2022	10.1007/s10664-021-10013-5 
EMSE	Yang, Deheng, et al	Where were the repair ingredients for Defects4j bugs? Exploring the impact of repair ingredient retrieval on the performance of 24 program repair systems.	2021	10.1007/s10664-021-10003-7
EMSE	Aleti, Aldeida, and Matias Martinez	E-APR: mapping the effectiveness of automated program repair techniques.	2021	10.1007/s10664-021-09989-x
EMSE	Ye, He, Matias Martinez, and Martin Monperrus	Automated patch assessment for program repair at scale.	2021	10.1007/s10664-020-09920-w
EMSE	Koyuncu, Anil, et al	Fixminer: Mining relevant fix patterns for automated program repair.	2020	10.1007/s10664-019-09780-z
EMSE	Kim, Jindae, and Sunghun Kim	Automatic patch generation with context-based change application.	2019	10.1007/s10664-019-09742-5
EMSE	Yu, Zhongxing, et al	Alleviating patch overfitting with automatic test generation: a study of feasibility and effectiveness for the Nopol repair system.	2019	10.1007/s10664-018-9619-4 
EMSE	Motwani, Manish, et al	Do automated program repair techniques repair hard and important bugs?.	2018	10.1145/3180155.3182533
EMSE	Yi, Jooyong, et al	A correlation study between automated program repair and test-suite metrics.	2018	10.1145/3180155.3182517
EMSE	Oliveira, Vinicius Paulo L	Improved representation and genetic operators for linear genetic programming for automated program repair.	2018	10.1007/s10664-017-9562-9
EMSE	Le, Xuan-Bach D	Overfitting in semantics-based automated program repair.	2018	10.1145/3180155.3182536
EMSE	Yu, Tingting, and Michael Pradel	Pinpointing and repairing performance bottlenecks in concurrent programs.	2018	10.1007/s10664-017-9578-1 
ICSE	Xia, Chunqiu Steven, Yuxiang Wei, and Lingming Zhang	Automated program repair in the era of large pre-trained language models.	2023	10.1109/icse48619.2023.00129
ICSE	Fan, Zhiyu, et al	Automated repair of programs from large language models.	2023	10.1109/icse48619.2023.00128
ICSE	Meng, Xiangxin, et al	Template-based Neural Program Repair.	2023	10.1109/icse48619.2023.00127
ICSE	Zhu, Qihao, et al	Tare: Type-Aware Neural Program Repair.	2023	10.1109/icse48619.2023.00126
ICSE	Jiang, Nan, et al	Impact of code language models on automated program repair.	2023	10.1109/icse48619.2023.00125
ICSE	Li, Zongjie, et al	Cctest: Testing and repairing code completion systems.	2023	10.1109/icse48619.2023.00110
ICSE	Motwani, Manish, and Yuriy Brun	Better automatic program repair by using bug reports and tests together.	2023	10.1109/icse48619.2023.00109
ICSE	Jiang, Nan, et al	Knod: Domain knowledge distilled tree decoder for automated program repair.	2023	10.1109/icse48619.2023.00111
ICSE	Parasaram, Nikhil, Earl T	Rete: Learning Namespace Representation for Program Repair.	2023	10.1109/icse48619.2023.00112
TSE	Banerjee, Chong, Ballabriga, and Roychoudhury	EnergyPatch: Repairing Resource Leaks to Improve Energy-Efficiency of Android Apps	2018	10.1109/tse.2017.2689012
TSE	Barbosa, Eiji Adachi, and Alessandro Garcia	Global-aware recommendations for repairing violations in exception handling.	2018	10.1145/3180155.3182539
TSE	Habayeb, Mayy, et al	On the use of hidden markov model to predict the time to fix bugs.	2017	10.1109/tse.2017.2757480 
TSE	Di Nucci, Dario, et al	A developer centered bug prediction model.	2017	10.1109/tse.2017.2659747 
TSE	Wang, Zhe, et al	Using local clocks to reproduce concurrency bugs.	2017	10.1109/tse.2017.2752158 
TSE	Santiesteban, Priscila, et al	CirFix: Automated Hardware Repair and Its Real-World Applications.	2023	10.1109/tse.2023.3269899
TSE	Li, Leping, et al	Generating Concise Patches for Newly Released Programming Assignments.	2022	10.1109/tse.2022.3153522 
TSE	Le-Cong, Thanh, et al	Invalidator: Automated patch correctness assessment via semantic and syntactic reasoning.	2023	10.1109/tse.2023.3255177
TSE	Nguyen, Truong Giang, et al	Multi-Granularity Detector for Vulnerability Fixes.	2023	10.1109/tse.2023.3281275
