conference	authors	title	year	DOI
IEEE Transactions on Software Engineering	Jifeng Xuan, Matias Martinez, Favio Demarco, Maxime Clément, Sebastian Lamelas, Thomas Durieux, Daniel Le Berre, and Martin Monperrus	Nopol: Automatic Repair of Conditional Statement Bugs in Java Programs	2017	10.1109/tse.2016.2560811
2017 IEEE International Conference on Software Maintenance and Evolution	D. Yang, Y. Qi, and X. Mao	An Empirical Study on the Usage of Fault Localization in Automated Program Repair	2017	10.1109/icsme.2017.37
Proceedings of the 2017 11th Joint Meeting on Foundations of Software Engineering	Jinqiu Yang, Alexey Zhikhartsev, Yuefei Liu, and Lin Tan	Better test cases for better automated program repair	2017	10.1145/3106237.3106274
Proceedings of ESEC/FSE	J. Yi, U. Ahmed, A. Karkare, S. Tan, and A. Roychoudhury	A feasibility study of using automated program repair for introductory programming assignments	2017	10.1145/3106237.3106262
Empirical Software Engineering	Jooyong Yi, Shin Hwei Tan, Sergey Mechtaev, Marcel Böhme, and Abhik Roychoudhury	A correlation study between automated program repair and test-suite metrics	2017	10.1007/s10664-017-9552-y
2017 IEEE International Conference on Software Maintenance and Evolution (ICSME)	Xin Yi, Liqian Chen, Xiaoguang Mao, and Tao Ji	Automated Repair of High Inaccuracies in Numerical Programs	2017	10.1109/icsme.2017.45
Tech. rep. 1712.07804. arXiv	Yuan Yuan and Wolfgang Banzhaf	ARJA: Automated Repair of Java Programs via Multi-Objective Genetic Programming	2017	NOT_FOUND
Proceedings of the 40th International Conference on Software Engineering: Software Engineering Education and Training	Umair Z Ahmed, Pawan Kumar, Amey Karkare, Purushottam Kar, and Sumit Gulwani	Compilation error repair: for the student programs, from the student programs	2018	10.1145/3183377.3183383
2018 International Joint Conference on Neural Networks (IJCNN)	Leonardo Afonso Amorim, Mateus F Freitas, Altino Dantas, Eduardo F de Souza, Celso G Camilo-Junior, and Wellington S Martins	A new word embedding approach to evaluate potential fixes for automated program repair	2018	10.1109/ijcnn.2018.8489079
Proceedings of the 4th International Workshop on Genetic Improvement	Gabin An, Jinhan Kim, and Shin Yoo	Comparing line and AST granularity level for program repair using PyGGI	2018	10.1145/3194810.3194814
International Conference on Testing Software and Systems	Paolo Arcaini, Angelo Gargantini, and Elvinia Riccobene	Interactive Testing and Repairing of Regular Expressions	2018	10.1007/978-3-319-99927-2_1
arXiv preprint arXiv:1809.07353	Larissa Azevedo, Altino Dantas, and Celso G Camilo-Junior	DroidBugs: An Android Benchmark for Automatic Program Repair	2018	NOT_FOUND
2018 IEEE/ACM 40th International Conference on Software Engineering	S. Bhatia, P. Kohli, and R. Singh	Neuro-Symbolic Program Corrector for Introductory Programming Assignments	2018	10.1145/3180155.3180219
Tech. rep. 1807.03200. arXiv	Zimin Chen and Martin Monperrus	The CodRep Machine Learning on Source Code Competition	2018	NOT_FOUND
Tech. rep. 1811.05703. arXiv	Zimin Chen and Martin Monperrus	The Remarkable Role of Similarity in Redundancy-based Program Repair	2018	NOT_FOUND
arXiv preprint arXiv:1804.07133	Lukas Diekmann and Laurence Tratt	Reducing Cascading Parsing Errors Through Fast Error Recovery	2018	NOT_FOUND
PhD thesis. Université de Lille	Thomas Durieux	From Runtime Failures to Patches: Study of Patch Generation in Production	2018	NOT_FOUND
Proceedings of the 29th IEEE International Symposium on Software Reliability Engineering	Thomas Durieux, Youssef Hamadi, and Martin Monperrus	Fully Automated HTML and Javascript Rewriting for Constructing a Self-healing Web Proxy	2018	10.1109/issre.2018.00012
arXiv abs/1807.03512	Ali Ghanbari and Lingming Zhang	Practical Program Repair via Bytecode Mutation	2018	NOT_FOUND
International Conference on Software Maintenance and Evolution	Anbang Guo, Xiaoguang Mao, Deheng Yang, and Shangwen Wang	An Empirical Study on the Effect of Dynamic Slicing on Automated Program Repair Efficiency	2018	10.1109/icsme.2018.00066
arXiv preprint arXiv:1801.10467	Rahul Gupta, Aditya Kanade, and Shirish Shevade	Deep reinforcement learning for programming language correction	2018	NOT_FOUND
Advances in Neural Information Processing Systems	Jacob Harer, Onur Ozdemir, Tomo Lazovich, Christopher Reale, Rebecca Russell, Louis Kim, et al	Learning to repair software vulnerabilities with generative adversarial networks	2018	NOT_FOUND
Proceedings of the 40th International Conference on Software Engineering	Foyzul Hassan and Xiaoyin Wang	HireBuild: an automatic approach to history-driven repair of build scripts	2018	10.1145/3180155.3180181
arXiv preprint 1812.07170	Hideaki Hata, Emad Shihab, and Graham Neubig	Learning to Generate Corrective Patches using Neural Machine Translation	2018	NOT_FOUND
CoRR abs/1803.07522	Qinheping Hu, Isaac Evavold, Roopsha Samanta, Rishabh Singh, and Loris D'Antoni	Program Repair via Direct State Manipulation	2018	NOT_FOUND
PhD thesis. University of Texas at Austin	Jinru Hua	Unifying Program Repair and Program Synthesis	2018	NOT_FOUND
Proceedings of ICSE	Jinru Hua, Mengshi Zhang, Kaiyuan Wang, and Sarfraz Khurshid	Towards Practical Program Repair with On-Demand Candidate Generation	2018	10.1145/3180155.3180245
Proceedings of ISSTA	Jiajun Jiang, Yingfei Xiong, Hongyu Zhang, Qing Gao, and Xiangqun Chen	Shaping Program Repair Space with Existing Patches and Similar Code	2018	10.1145/3213846.3213871
Proceedings of the 27th ACM SIGSOFT International Symposium on Software Testing and Analysis	René Just, Chris Parnin, Ian Drosos, and Michael D Ernst	Comparing developer-provided to user-provided tests for fault localization and automated program repair	2018	10.1145/3213846.3213870
PhD thesis. Singapore Management University	Xuan Bach D Le	Overfitting in Automated Program Repair: Challenges and Solutions	2018	NOT_FOUND
Empirical Software Engineering	Xuan Bach D. Le, Ferdian Thung, David Lo, and Claire Le Goues	Overfitting in semantics-based automated program repair	2018	10.1145/3180155.3182536
Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering	Junhee Lee, Seongjoon Hong, and Hakjoo Oh	MemFix: static analysis-based repair of memory deallocation errors for C	2018	10.1145/3236024.3236079
Proceedings of OOPSLA	Junho Lee, Dowon Song, Sunbeom So, and Hakjoo Oh	Automatic diagnosis and correction of logical errors for functional programming assignments	2018	NOT_FOUND
PhD thesis. University of Luxembourg	Kui Liu	Deep Pattern Mining for Program Repair	2018	NOT_FOUND
Proceedings of APSEC	Kui Liu, Anil Koyuncu, Kisub Kim, Dongsun Kim, and Tegawendé François D Assise Bissyande	LSRepair: Live Search of Fix Ingredients for Automated Program Repair	2018	10.1109/apsec.2018.00085
2018 IEEE 25th International Conference on Software Analysis, Evolution and Reengineering (SANER)	X. Liu and H. Zhong	Mining Stackoverflow for Program Repair	2018	10.1109/saner.2018.8330202
Journal of Software	Yuzhen Liu, Long Zhang, and Zhenyu Zhang	A Survey of Test Based Automatic Program Repair	2018	10.17706/jsw.13.8.437-452
PhD thesis. Massachusetts Institute of Technology	Fan Long	Automatic patch generation via learning from successful human patches	2018	NOT_FOUND
Proceedings of the 40th International Conference on Software Engineering	Sonai Mahajan, Negarsadat Abolhassani, Phil McMinn, and William GJ Halfond	Automated repair of mobile friendly problems in web pages	2018	10.1145/3180155.3180262
International Conference on Software Testing, Verification and Validation	Sonal Mahajan, Abdulmajeed Alameer, Phil McMinn, and William GJ Halfond	Automated Repair of Internationalization Presentation Failures in Web Pages Using Style Similarity Clustering and Search-Based Techniques	2018	10.1109/icst.2018.00030
SSBSE 2018 10th International Symposium on Search-Based Software Engineering	Matias Martinez and Martin Monperrus	Ultra-Large Repair Search Space with Automatically Mined Templates: the Cardumen Mode of Astor	2018	10.1007/978-3-319-99241-9_3
PhD thesis. National University of Singapore	Sergey Mechtaev	Semantic Program Repair	2018	NOT_FOUND
ACM Transactions on Software Engineering and Methodology	Sergey Mechtaev, Xiang Gao, Shin Hwei Tan, and Abhik Roychoudhury	Test-equivalence Analysis for Automatic Patch Generation	2018	10.1145/3241980
Proceedings of the 40th International Conference on Software Engineering	Sergey Mechtaev, Manh-Dung Nguyen, Yannic Noller, Lars Grunske, and Abhik Roy-choudhury	Semantic Program Repair Using a Reference Implementation	2018	10.1145/3180155.3180247
Tech. rep. 1810.05806. arXiv	Martin Monperrus, Simon Urli, Thomas Durieux, Matias Martinez, Benoit Baudry, and Lionel Seinturier	Human-competitive Patches in Automatic Program Repair with Repairnator	2018	NOT_FOUND
Empirical Software Engineering	Vinicius Paulo L Oliveira, Eduardo Faria de Souza, Claire Le Goues, and Celso G Camilo-Junior	Improved representation and genetic operators for linear genetic programming for automated program repair	2018	10.1007/s10664-017-9562-9
Proceedings of the 15th International Conference on Mining Software Repositories (MSR Data Showcase)	Ripon K. Saha, Yingjun Lyu, Wing Lam, Hiroaki Yoshida, and Mukul R. Prasad	Bugs.jar: A Large-scale, Diverse Dataset of Real-world Java Bugs	2018	10.1145/3196398.3196473
2018 IEEE 25th International Conference on Software Analysis, Evolution and Reengineering (SANER)	Eddie Antonio Santos, Joshua Charles Campbell, Dhvani Patel, Abram Hindle, and José Nelson Amaral	Syntax and sensibility: Using language models to detect and correct syntax errors	2018	10.1109/saner.2018.8330219
ICLR Workshop	Richard Shin, Illia Polosukhin, and Dawn Song	Towards Specification-Directed Program Repair	2018	NOT_FOUND
Proceedings of the 15th International Conference on Mining Software Repositories	Mauricio Soto and Claire Le Goues	Common Statement Kind Changes to Inform Automatic Program Repair	2018	10.1145/3196398.3196472
Proceedings of the Genetic and Evolutionary Computation Conference. GECCO '18	Eduardo Faria de Souza, Claire Le Goues, and Celso Gonçalves Camilo-Junior	A Novel Fitness Function for Automated Program Repair Based on Source Code Checkpoints	2018	10.1145/3205455.3205566
Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering	Andrea Stocco, Rahulkrishna Yandrapally, and Ali Mesbah	Visual Web Test Repair	2018	10.1145/3236024.3236063
PhD thesis. National University of Singapore	Shin Hwei Tan	Design of repair operators for automated program repair	2018	NOT_FOUND
Proceedings of the International Conference on Software Engineering	Shin Hwei Tan, Zhen Dong, Xiang Gao, and Abhik Roychoudhury	Repairing Crashes in Android Apps	2018	10.1145/3180155.3180243
Proceedings of ICSE	Rijnard van Tonder and Claire Le Goues	Static Automated Program Repair for Heap Properties	2018	10.1145/3180155.3180250
Tech. rep. arXiv preprint 1808.09229	Chadi Trad, Rawad Abou Assi, Wes Masri, and Fadi Zaraket	CFAAR: Control Flow Alteration to Assist Repair	2018	10.1109/issrew.2018.00008
Proceedings of the 33rd ACM/IEEE International Conference on Automated Software Engineering	Michele Tufano, Cody Watson, Gabriele Bavota, Massimiliano Di Penta, Martin White, and Denys Poshyvanyk	An Empirical Investigation into Learning Bug-fixing Patches in the Wild via Neural Machine Translation	2018	10.1145/3238147.3240732
ACM Transactions on Software Engineering and Methodology	Michele Tufano, Cody Watson, Gabriele Bavota, Massimiliano Di Penta, Martin White, and Denys Poshyvanyk	An Empirical Study on Learning Bug-Fixing Patches in the Wild via Neural Machine Translation	2018	NOT_FOUND
40th International Conference on Software Engineering, Track Software Engineering in Practice	Simon Urli, Zhongxing Yu, Lionel Seinturier, and Martin Monperrus	How to Design a Program Repair Bot? Insights from the Repairnator Project	2018	10.1145/3183519.3183540
Proceedings of ICLR	Marko Vasic, Aditya Kanade, Petros Maniatis, and David Bieber	Neural Program Repair by Jointly Learning to Localize and Repair	2018	NOT_FOUND
Proceedings of the 33rd ACM/IEEE International Conference on Automated Software Engineering	Kaiyuan Wang, Allison Sullivan, and Sarfraz Khurshid	Automated model repair for Alloy	2018	10.1145/3238147.3238162
PLDI	Ke Wang, Rishabh Singh, and Zhendong Su	Search, Align, and Repair: Data-driven Feedback Generation for Introductory Programming Exercises	2018	10.1145/3192366.3192384
arXiv e-prints	Shangwen Wang, Ming Wen, Deheng Yang, and Xiaoguang Mao	Attention Please: Consider Mockito when Evaluating Newly Released Automated Program Repair Techniques	2018	NOT_FOUND
Proceedings of ICSE	Ming Wen, Junjie Chen, rongxin wu, Dan Hao, and Shing-Chi Cheung	Context-Aware Patch Generation for Better Automated Program Repair	2018	10.1145/3180155.3180233
Proceedings of the 26th International Symposium on Foundations of Software Engineering New Ideas Track (FSE-NIER)	Chu-Pan Wong, Jens Meinicke, and Christian Kästner	Beyond Testing Configurable Systems: Applying Variational Execution to Automatic Program Repair and Higher Order Mutation Testing	2018	10.1145/3236024.3264837
Proceedings of ICSE	Yingfei Xiong, Xinyuan Liu, Muhan Zeng, Lu Zhang, and Gang Huang	Identifying patch correctness in test-based program repair	2018	NOT_FOUND
Tech. rep. 1805.03454. arXiv	He Ye, Matias Martinez, and Martin Monperrus	A Comprehensive Study of Automatic Program Repair on the QuixBugs Benchmark	2018	NOT_FOUND
Empirical Software Engineering	Zhongxing Yu, Matias Martinez, Benjamin Danglot, Thomas Durieux, and Martin Monperrus	Alleviating Patch Overfitting with Automatic Test Generation: A Study of Feasibility and Effectiveness for the Nopol Repair System	2018	NOT_FOUND
Journal of Systems and Software	Hao Zhong and Hong Mei	Mining repair model for exception-related bug	2018	10.1016/j.jss.2018.03.046
Empirical Software Engineering	Hao Zhong and Na Meng	Towards reusing hints from past fixes - An exploratory study on thousands of real samples	2018	10.1145/3180155.3182550
IEEE Transactions on Software Engineering	Afsoon Afzal, Manish Motwani, Kathryn Stolee, Yuriy Brun, and Claire Le Goues	SOSRepair: Expressive Semantic Search for Real-World Program Repair	2019	NOT_FOUND
Proceedings of the International Conference on Software Maintenance and Evolution	Moumita Asad, Kishan Kumar Ganguly, and Kazi Sakib	Impact Analysis of Syntactic and Semantic Similarities on Patch Prioritization in Automated Program Repair	2019	10.1109/icsme.2019.00050
Proceedings of the 2019 27th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering	Rohan Bavishi, Hiroaki Yoshida, and Mukul R Prasad	Phoenix: automated data-driven synthesis of repairs for static analysis violations	2019	10.1145/3338906.3338952
arXiv preprint arXiv:1907.06535	José Pablo Cambronero, Jiasi Shen, Jürgen Cito, Elena Glassman, and Martin Rinard	Characterizing Developer Use of Automatically Generated Patches	2019	NOT_FOUND
Tech. rep. 1912.02015. arXiv	Zimin Chen, Steve Kommrusch, and Martin Monperrus	Using Sequence-to-Sequence Learning for Repairing C Vulnerabilities	2019	NOT_FOUND
IEEE Transactions on Software Engineering	Zimin Chen, Steve Kommrusch, Michele Tufano, Louis-Noël Pouchet, Denys Poshyvanyk, and Martin Monperrus	SequenceR: Sequence-to-Sequence Learning for End-to-End Program Repair	2019	NOT_FOUND
IEEE Transactions on Dependable and Secure Computing	Xi Cheng, Min Zhou, Xiaoyu Song, Ming Gu, and Jiaguang Sun	Automatic Integer Error Repair by Proper-Type Inference	2019	NOT_FOUND
Proceedings of the Genetic Improvement Workshop	Zhen Yu Ding, Yiwei Lyu, Christopher S Timperley, and Claire Le Goues	Leveraging Program Invariants to Promote Population Diversity in Search-Based Automatic Program Repair	2019	10.1109/gi.2019.00011
arXiv preprint arXiv:1903.06725	Naji Dmeiri, David A Tomassi, Yichen Wang, Antara Bhowmick, Yen-Chuan Liu, Premkumar Devanbu, Bogdan Vasilescu, and Cindy Rubio-Gonzélez	BugSwarm: Mining and Continuously Growing a Dataset of Reproducible Failures and Fixes	2019	NOT_FOUND
arXiv preprint arXiv:1905.09375	Thomas Durieux and Rui Abreu	Critical Review of BugSwarm for Fault Localization and Program Repair	2019	NOT_FOUND
Proceedings of FSE	Thomas Durieux, Fernanda Madeiral, Matias Martinez, and Rui Abreu	Empirical Review of Java Program Repair Tools: A Large-Scale Experiment on 2,141 Bugs and 23,551 Repair Attempts	2019	NOT_FOUND
International Symposium on Software Testing and Analysis	Xiang Gao, Sergey Mechtaev, and Abhik Roychoudhury	Crash-Avoiding Program Repair	2019	NOT_FOUND
arXiv preprint arXiv:1912.00117	Ali Ghanbari	Validation of Automatically Generated Patches: An Appetizer	2019	NOT_FOUND
Proceedings of the 11th Asia-Pacific Symposium on Internetware	Rongxun Guo, Tianxiao Gu, Yuan Yao, Feng Xu, and Xiaoxing Ma	Speedup automatic program repair using dynamic software updating: an empirical study	2019	10.1145/3361242.3361245
arXiv preprint arXiv:1906.10502	Hossein Hajipour, Apratim Bhattacharya, and Mario Fritz	SampleFix: Learning to Correct Programs by Sampling Diverse Fixes	2019	NOT_FOUND
PhD thesis. Boston University	Jacob Alexander Harer	Improved neural machine translation systems for low resource correction tasks	2019	NOT_FOUND
Proceedings of ASE	Yang Hu, Umair Z Ahmed, Sergey Mechtaev, Ben Leong, and Abhik Roychoudhury	Re-factoring based Program Repair applied to Programming Assignments	2019	10.1109/ase.2019.00044
Proceedings of the 40th IEEE Symposium on Security and Privacy	Zhen Huang, David Lie, Gang Tan, and Trent Jaeger	Using Safety Properties to Generate Vulnerability Patches	2019	10.1109/sp.2019.00071
Science China Information Sciences	Jiajun Jiang, Yingfei Xiong, and Xin Xia	A manual inspection of Defects4J bugs and its implications for automatic program repair	2019	10.1007/s11432-018-1465-6
IEEE Conference on Software Testing, Validation and Verification	Besma Khaireddine, Matias Martinez, and Ali Mili	Program Repair at Arbitrary Fault Depth	2019	10.1109/icst.2019.00056
Empirical Software Engineering	Jindae Kim, Jeongho Kim, Eunseok Lee, and Sunghun Kim	The effectiveness of context-based change application on automatic program repair	2019	10.1007/s10664-019-09770-1
Empirical Software Engineering	Jindae Kim and Sunghun Kim	Automatic patch generation with context-based change application	2019	10.1007/s10664-019-09742-5
Proceedings of the 2019 27th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering	Anil Koyuncu, Kui Liu, Tegawendé F Bissyandé, Dongsun Kim, Martin Monperrus, Jacques Klein, and Yves Le Traon	iFixR: bug report driven program repair	2019	10.1145/3338906.3338935
Communications of the ACM	Claire Le Goues, Michael Pradel, and Abhik Roychoudhury	Automated Program Repair	2019	10.1145/3318162
Proceedings of the 40th ACM SIGPLAN Conference on Programming Language Design and Implementation	Guangpu Li, Haopeng Liu, Xianglan Chen, Haryadi S Gunawi, and Shan Lu	DFix: automatically fixing timing bugs in distributed systems	2019	NOT_FOUND
2019 12th IEEE Conference on Software Testing, Validation and Verification (ICST)	Xiangyu Li, Marcelo d'Amorim, and Alessandro Orso	Intent-Preserving Test Repair	2019	10.1109/icst.2019.00030
Proceedings of the 12th IEEE International Conference on Software Testing, Verification and Validation	Kui Liu, Anil Koyuncu, Tegawendé F. Bissyandé, Dongsun Kim, Jacques Klein, and Yves Le Traon	You Cannot Fix What You Cannot Find! An Investigation of Fault Localization Bias in Benchmarking Automated Program Repair Systems	2019	10.1109/icst.2019.00020
Proceedings of ISSTA	Kui Liu, Anil Koyuncu, Dongsun Kim, and Tegawendé F Bissyandé	TBar: Revisiting Template-based Automated Program Repair	2019	10.1145/3293882.3330577
Proceedings of SANER	Kui Liu, Anil Koyuncu, Dongsun Kim, and Tegawendé F. Bissyandé	AVATAR: Fixing Semantic Bugs with Fix Patterns of Static Analysis Violations	2019	10.1109/saner.2019.8667970
IEEE Transactions on Software Engineering	Giovanni Liva, Muhammad Taimoor Khan, Martin Pinzger, Francesco Spegni, and Luca Spalazzi	Automatic repair of timestamp comparisons	2019	NOT_FOUND
Proceedings of the 28th ACM SIGSOFT International Symposium on Software Testing and Analysis	Yiling Lou, Junjie Chen, Lingming Zhang, Dan Hao, and Lu Zhang	History-driven build failure fixing: how far are we?	2019	10.1145/3293882.3330578
arXiv preprint arXiv:1910.01270	Yiling Lou, Ali Ghanbari, Xia Li, Lingming Zhang, Dan Hao, and Lu Zhang	Can Automated Program Repair Refine Fault Localization?	2019	NOT_FOUND
ENCORE: Ensemble Learning using Convolution Neural Machine Translation for Automatic Program Repair	Thibaud Lutellier, Lawrence Pang, Viet Hung Pham, Moshi Wei, and Lin Tan	ENCORE: Ensemble Learning using Convolution Neural Machine Translation for Automatic Program Repair	2019	NOT_FOUND
SANER 2019 - 26th IEEE International Conference on Software Analysis, Evolution and Reengineering	Fernanda Madeiral, Simon Urli, Marcelo Maia, and Martin Monperrus	Bears: An Extensible Java Bug Benchmark for Automatic Program Repair Studies	2019	10.1109/saner.2019.8667991
19th SCAM	Diego Marcilio, Carlo A Furia, Rodrigo Bonifécio, and Gustavo Pinto	Automatically Generating Fix Suggestions in Response to Static Code Analysis Warnings	2019	10.1109/scam.2019.00013
International Conference on Software Engineering - Software Engineering in Practice	Alexandru Marginean, Johannes Bader, Satish Chandra, Yue Jia Mark Harman, Ke Mao, Alexander Mols, and Andrew Scott	SapFix: Automated End-to-End Repair at Scale	2019	10.1109/icse-seip.2019.00039
Journal of Systems and Software, Elsevier	Matias Martinez and Martin Monperrus	Astor: Exploring the Design Space of Generate-and-Validate Program Repair beyond GenProg	2019	10.1016/j.jss.2019.01.069
Journal of Systems and Software, Elsevier	Matias Martinez and Martin Monperrus	Astor: Exploring the Design Space of Generate-and-Validate Program Repair beyond GenProg	2019	10.1016/j.jss.2019.01.069
Proceedings of ESEC/FSE	Ali Mesbah, Andrew Rice, Emily Johnston, Nick Glorioso, and Eddie Aftandilian	DeepDelta: learning to repair compilation errors	2019	10.1145/3338906.3340455
2019 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW)	Mahmoud Mohammadi, Bill Chu, and Heather Richter Lipford	Automated Repair of Cross-Site Scripting Vulnerabilities through Unit Testing	2019	10.1109/issrew.2019.00098
arXiv preprint arXiv:1907.06205	Venkatesh Theru Mohan and Ali Jannesari	Automatic Repair and Type Binding of Undeclared Variables using Neural Networks	2019	NOT_FOUND
Proceedings of IEEE/ACM International Workshop on Bots in Software Engineering (BotSE)	Martin Monperrus	Explainable Software Bot Contributions: Case Study of Automated Bug Fixes	2019	10.1109/botse.2019.00010
Ubiquity	Martin Monperrus, Simon Urli, Thomas Durieux, Martin Martinez, Benoit Baudry, and Lionel Seinturier	Repairnator patches programs automatically	2019	10.1145/3349589
IEEE Transactions on Software Engineering	Paul Muntean, Martin Monperrus, Hao Sun, Jens Grossklags, and Claudia Eckert	IntRepair: Informed Repairing of Integer Overflows	2019	NOT_FOUND
Proceedings of the International Conference on Software Engineering	Seemanta Saha, Ripon K Saha, and Mukul R Prasad	Harnessing evolution for multi-hunk program repair	2019	10.1109/icse.2019.00020
arXiv preprint arXiv:1902.06111	Andrew Scott, Johannes Bader, and Satish Chandra	Getafix: Learning to Fix Bugs Automatically	2019	10.1145/3360585
Proceedings of the 2019 27th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering	August Shi, Wing Lam, Reed Oei, Tao Xie, and Darko Marinov	iFixFlakies: a framework for automatically fixing order-dependent flaky tests	2019	10.1145/3338906.3338925
Proceedings of the Working Conference on Software Visualization	Yuya Tomida, Yoshiki Higo, Shinsuke Matsumoto, and Shinji Kusumoto	Visualizing Code Genealogy: How Code is Evolutionarily Fixed in Program Repair?	2019	10.1109/vissoft.2019.00011
Proceedings of the 1st International Workshop on Bots in Software Engineering	Rijnard van Tonder and Claire Le Goues	Towards s/engineer/bot: principles for program repair bots	2019	10.1109/botse.2019.00019
First International Conference on HCI for Cybersecurity, Privacy and Trust	J Tyler, Gene M Alarcon, Charles Walter, Rose Gamble, A Sarah, August Capiola, and Marc D Pfahler	Trust in Automated Software Repair	2019	10.1007/978-3-030-22351-9_31
Proceedings of the 41st International Conference on Software Engineering: Companion Proceedings	Kaiyuan Wang, Allison Sullivan, and Sarfraz Khurshid	ARepair: a repair framework for alloy	2019	10.1109/icse-companion.2019.00049
arXiv preprint arXiv:1906.03447	Shangwen Wang, Ming Wen, Liqian Chen, Xin Yi, and Xiaoguang Mao	How Different Is It Between Machine-Generated and Developer-Provided Patches? An Empirical Study on The Correct Patches Generated by Automated Program Repair Techniques	2019	10.1109/esem.2019.8870172
Journal of Systems and Software	Weichao Wang, Zhaopeng Menga, Zan Wanga, Shuang Liua, and Jianye Haoa	Loop-Fix: An Approach to Automatic Repair of Buggy Loops	2019	NOT_FOUND
Proceedings of the 6th International Workshop on Genetic Improvement	Qi Xin and Steven P Reiss	Better code search and reuse for better program repair	2019	10.1109/gi.2019.00012
arXiv preprint 1903.04583	Qi Xin and Steven P Reiss	Revisiting ssFix for Better Program Repair	2019	NOT_FOUND
International Workshop on Intelligent Bug Fixing	Xiaoqian Xing and Katsuhisa Maruyama	Automatic Software Merging using Automated Program Repair	2019	10.1109/ibf.2019.8665493
Proceedings of ICSE	Xuezheng Xu, Yulei Sui, Hua Yan, and Jingling Xue	VFix: Value-Flow-Guided Precise Program Repair for Null Pointer Dereferences	2019	10.1109/icse.2019.00063
Proceedings of the ACM on Programming Languages	Xin Yi, Liqian Chen, Xiaoguang Mao, and Tao Ji	Efficient automated repair of high floating-point errors in numerical libraries	2019	10.1145/3290369
arXiv preprint arXiv:1912.05823	Xiao Liang Yu, Omar Al-Bataineh, David Lo, and Abhik Roychoudhury	Smart Contract Repair	2019	NOT_FOUND
Tech. rep. 1907.09282. arXiv	Zhongxing Yu, Matias Martinez, Tegawendé F. Bissyandé, and Martin Monperrus	Learning the Relation between Code Features and Code Transforms with Structured Prediction	2019	NOT_FOUND
Proceedings of the Genetic and Evolutionary Computation Conference	Yuan Yuan and Wolfgang Banzhaf	A hybrid evolutionary system for automatic software repair	2019	10.1145/3321707.3321830
Systems	Gene M Alarcon, Charles Walter, Anthony M Gibson, Rose F Gamble, August Capiola, Sarah A Jessup, and Tyler J Ryan	Would You Fix This Code for Me? Effects of Repair Source and Commenting on Trust in Code Repair	2020	10.3390/systems8010008
arXiv preprint arXiv:2002.03968	Aldeida Aleti and Matias Martinez	E-APR: Mapping the Effectiveness of Automated Program Repair	2020	NOT_FOUND
arXiv preprint arXiv:2012.11060	Abdulaziz Alhefdhi, Hoa Khanh Dam, Xuan-Bach D Le, and Aditya Ghose	Adversarial Patch Generation for Automatic Program Repair	2020	NOT_FOUND
2020 35th IEEE/ACM International Conference on Automated Software Engineering (ASE)	Samuel Benton, Xia Li, Yiling Lou, and Lingming Zhang	On the effectiveness of unified debugging: An extensive study on 16 program repair systems	2020	10.1145/3324884.3416566
arXiv preprint arXiv:2003.03201	Bhargav Nagaraja Bhatt and Carlo A Furia	Automated Repair of Resource Leaks in Android Applications	2020	NOT_FOUND
Proceedings of ICST	Marcel Böhme, Charaka Geethal, and Van-Thuan Pham	Human-In-The-Loop Automatic Program Repair	2020	10.1109/icst46399.2020.00036
2020 6th International Symposium on System and Software Reliability (ISSSR)	Heling Cao, YangXia Meng, Jianshu Shi, Lei Li, Tiaoli Liao, and Chenyang Zhao	A Survey on Automatic Bug Fixing	2020	10.1109/isssr51244.2020.00029
Proceedings of SANER	Antônio Carvalho, Welder Luz, Diego Marcilio, Rodrigo Bonifécio, Gustavo Pinto, and Edna Dias Canedo	C-3PR: A Bot for Fixing Static Analysis Violations via Pull Requests	2020	10.1109/saner48275.2020.9054842
arXiv preprint arXiv:2007.11449	Lingchao Chen and Lingming Zhang	Fast and Precise On-the-fly Patch Validation for All	2020	NOT_FOUND
IEEE Transactions on Software Engineering	Liushan Chen, Yu Pei, and Carlo Alberto Furia	Contract-Based Program Repair without The Contracts: An Extended Study	2020	NOT_FOUND
PhD thesis. Carnegie Mellon University	Zack Coker	Automatic Repair of Framework Applications	2020	NOT_FOUND
IEEE 2nd International Workshop on Intelligent Bug Fixing (IBF)	V. Csuvik, D. Horváth, F. Horváth, and L. Vidács	Utilizing Source Code Embeddings to Identify Correct Patches	2020	10.1109/ibf50092.2020.9034714
Proceedings of ICLR	Elizabeth Dinella, Hanjun Dai, Ziyang Li, Mayur Naik, Le Song, and Ke Wang	Hoppity: learning graph transformations to detect and fix bugs in programs	2020	NOT_FOUND
arXiv preprint arXiv:2008.10707	Yangruibo Ding, Baishakhi Ray, Premkumar Devanbu, and Vincent J Hellendoorn	Patching as Translation: the Data and the Metaphor	2020	10.1145/3324884.3416587
